127.0.0.1 - - [10/Apr/2019:07:27:08 +0200] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:01:14 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:01:17 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 200 17894
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:01:17 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:13 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:13 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:13 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:13 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:13 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:13 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:13 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:16 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:16 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:17 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 200 17911
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:02:17 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:03:53 +0200] "GET /MyTravel/wifiOK.jpg HTTP/1.1" 200 13486
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:45 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:45 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:45 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:45 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:45 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:45 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:45 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:46 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:46 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:49 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 500 2203
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:05:49 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:40 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:41 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:44 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 200 17911
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:44 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:07:57 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 200 17893
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11929
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:16 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:20 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 200 18572
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:20 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:09:20 +0200] "GET /MyTravel/campingchine.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:08:10:29 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
